nr. sessions,nr. rest days,total kms,max km one day,"nr. tough sessions (effort in Z5, T1 or T2)",nr. strength trainings
5.0,2.0,28.7,9.7,2.0,0.0
8.0,0.0,105.1,27.4,1.0,2.0
6.0,1.0,42.3,10.5,2.0,0.0
7.0,2.0,21.4,7.6,1.0,2.0
8.0,0.0,120.3,27.1,1.0,0.0
6.0,1.0,57.8,11.8,3.0,0.0
4.0,3.0,26.7,10.0,0.0,0.0
8.0,0.0,51.6,15.2,3.0,2.0
7.0,0.0,63.9,14.0,2.0,1.0
5.0,2.0,57.1,13.0,0.0,0.0
3.0,4.0,29.0,14.0,1.0,0.0
7.0,0.0,66.0,15.0,2.0,1.0
4.0,3.0,40.4,16.5,2.0,1.0
5.0,3.0,0.0,0.0,0.0,2.0
10.0,0.0,128.4,24.0,3.0,2.0
4.0,3.0,28.8,12.8,2.0,0.0
5.0,3.0,5.0,3.0,0.0,2.0
3.0,4.0,112.0,48.0,0.0,0.0
6.0,1.0,48.0,13.8,1.0,1.0
7.0,0.0,83.7,17.2,0.0,1.0
5.0,2.0,49.6,14.1,3.0,2.0
6.0,1.0,59.0,17.0,0.0,0.0
2.0,5.0,0.0,0.0,0.0,2.0
1.0,6.0,0.0,0.0,0.0,0.0
8.0,0.0,78.1,13.9,4.0,0.0
8.0,0.0,103.5,26.0,0.0,0.0
7.0,0.0,68.4,20.0,0.0,0.0
6.0,1.0,75.7,16.0,0.0,0.0
7.0,0.0,124.0,28.0,0.0,0.0
13.0,0.0,154.2,31.0,2.0,2.0
6.0,1.0,2.3,2.3,0.0,0.0
6.0,1.0,30.4,8.2,1.0,1.0
6.0,1.0,48.9,13.5,1.0,1.0
11.0,1.0,49.5,12.5,3.0,2.0
8.0,1.0,110.1,30.6,0.0,1.0
6.0,1.0,58.7,13.5,2.0,0.0
6.0,1.0,59.3,14.4,4.0,0.0
5.0,2.0,20.9,7.8,0.0,1.0
7.0,0.0,60.4,13.5,2.0,2.0
5.0,2.0,31.4,7.9,1.0,0.0
4.0,3.0,17.2,5.0,0.0,0.0
10.0,0.0,67.6,15.0,2.0,5.0
2.0,5.0,0.0,0.0,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,49.3,12.5,3.0,0.0
8.0,0.0,75.0,19.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
3.0,4.0,33.0,14.0,0.0,0.0
6.0,1.0,87.1,23.8,1.0,0.0
4.0,3.0,39.4,13.0,1.0,0.0
4.0,3.0,25.4,14.4,0.0,0.0
7.0,2.0,121.0,48.0,0.0,0.0
8.0,0.0,28.0,8.0,0.0,3.0
6.0,2.0,25.2,9.6,2.0,0.0
6.0,1.0,60.0,14.0,3.0,0.0
6.0,1.0,52.6,14.1,2.0,0.0
8.0,0.0,98.4,22.1,1.0,1.0
3.0,4.0,39.1,16.1,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,80.7,17.5,0.0,0.0
6.0,1.0,96.0,30.4,1.0,0.0
9.0,0.0,96.3,18.6,0.0,1.0
4.0,3.0,22.0,8.0,0.0,0.0
8.0,1.0,42.3,11.1,1.0,2.0
5.0,2.0,33.6,12.8,1.0,1.0
5.0,2.0,62.7,18.2,0.0,0.0
6.0,1.0,64.8,17.0,3.0,0.0
9.0,0.0,139.9,29.5,2.0,0.0
4.0,3.0,27.7,11.7,2.0,0.0
6.0,1.0,0.0,0.0,0.0,2.0
7.0,0.0,85.7,17.4,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,82.0,17.0,1.0,3.0
3.0,4.0,29.5,12.4,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
8.0,0.0,61.8,13.0,2.0,1.0
8.0,0.0,81.7,18.7,1.0,1.0
1.0,6.0,0.0,0.0,0.0,0.0
10.0,0.0,114.0,27.5,0.0,2.0
5.0,2.0,35.2,9.4,2.0,0.0
8.0,2.0,51.0,12.0,0.0,1.0
5.0,2.0,25.5,9.5,0.0,0.0
11.0,0.0,155.0,30.0,1.0,2.0
9.0,1.0,67.4,15.9,3.0,2.0
7.0,2.0,57.5,16.5,0.0,2.0
5.0,2.0,51.3,14.9,1.0,1.0
9.0,0.0,83.6,23.2,2.0,1.0
5.0,2.0,19.0,9.0,0.0,1.0
4.0,3.0,55.7,22.0,2.0,0.0
6.0,1.0,0.0,0.0,0.0,2.0
7.0,0.0,37.0,11.0,0.0,1.0
6.0,1.0,49.2,13.5,1.0,0.0
6.0,2.0,53.3,13.5,3.0,1.0
7.0,2.0,76.2,28.1,1.0,0.0
6.0,2.0,45.0,13.0,1.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,2.0,70.5,22.5,0.0,0.0
5.0,2.0,54.6,16.2,2.0,1.0
5.0,2.0,55.1,15.7,1.0,0.0
9.0,0.0,79.0,19.0,2.0,0.0
3.0,4.0,24.9,12.0,2.0,0.0
2.0,5.0,16.0,10.0,0.0,1.0
5.0,2.0,46.0,11.0,2.0,0.0
8.0,2.0,50.9,21.0,0.0,0.0
2.0,5.0,24.0,13.0,0.0,0.0
4.0,3.0,53.3,15.0,0.0,0.0
11.0,1.0,74.3,20.0,3.0,0.0
10.0,0.0,75.0,19.4,1.0,1.0
8.0,1.0,125.0,30.5,2.0,0.0
4.0,3.0,34.9,10.8,1.0,0.0
6.0,1.0,31.0,9.3,0.0,1.0
8.0,1.0,59.1,14.3,3.0,1.0
5.0,2.0,65.8,15.3,0.0,0.0
9.0,0.0,102.0,23.0,0.0,0.0
9.0,2.0,23.3,9.3,0.0,3.0
6.0,1.0,78.6,17.0,2.0,1.0
8.0,0.0,71.0,22.0,1.0,3.0
5.0,2.0,31.8,13.0,0.0,0.0
8.0,0.0,73.0,15.5,0.0,2.0
5.0,2.0,42.0,14.0,3.0,1.0
7.0,0.0,18.0,5.0,0.0,2.0
6.0,2.0,9.9,6.2,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
2.0,5.0,5.0,5.0,0.0,0.0
7.0,0.0,5.1,3.6,0.0,1.0
7.0,1.0,84.6,19.0,3.0,0.0
3.0,4.0,36.0,12.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,36.9,11.5,0.0,0.0
7.0,1.0,91.0,21.0,1.0,0.0
6.0,2.0,92.7,43.2,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,95.4,21.1,1.0,0.0
5.0,2.0,33.3,10.1,0.0,1.0
2.0,5.0,0.0,0.0,0.0,0.0
5.0,2.0,54.0,15.0,0.0,0.0
5.0,2.0,63.2,15.0,1.0,1.0
6.0,1.0,46.0,15.2,1.0,1.0
4.0,3.0,44.7,16.6,0.0,0.0
10.0,0.0,127.4,24.2,2.0,1.0
7.0,0.0,29.3,12.6,0.0,1.0
7.0,1.0,43.1,9.9,1.0,1.0
7.0,0.0,61.3,15.5,3.0,0.0
6.0,2.0,47.2,11.6,3.0,0.0
7.0,0.0,28.3,8.0,0.0,2.0
5.0,2.0,0.0,0.0,0.0,1.0
3.0,4.0,12.2,6.2,0.0,1.0
8.0,1.0,29.3,11.5,2.0,2.0
4.0,3.0,91.5,35.5,0.0,0.0
6.0,1.0,49.2,11.7,3.0,0.0
5.0,2.0,38.6,12.0,0.0,0.0
4.0,3.0,20.5,6.5,1.0,0.0
7.0,1.0,64.2,19.6,1.0,0.0
8.0,0.0,119.0,29.0,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,74.6,17.5,2.0,1.0
6.0,2.0,52.9,14.2,0.0,1.0
1.0,6.0,7.0,7.0,0.0,0.0
4.0,3.0,43.0,15.5,1.0,1.0
4.0,3.0,32.5,11.0,1.0,1.0
5.0,2.0,31.0,10.5,1.0,1.0
5.0,2.0,27.0,10.0,0.0,1.0
6.0,1.0,48.0,21.0,0.0,0.0
7.0,0.0,119.0,29.0,0.0,0.0
2.0,5.0,18.5,11.0,2.0,0.0
7.0,0.0,50.2,13.8,3.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,74.0,14.5,2.0,1.0
6.0,1.0,38.8,11.0,1.0,0.0
8.0,0.0,105.1,20.1,2.0,1.0
9.0,0.0,49.0,12.0,2.0,2.0
7.0,1.0,32.2,10.3,0.0,1.0
6.0,1.0,0.0,0.0,0.0,0.0
7.0,0.0,95.8,18.0,3.0,0.0
7.0,0.0,62.6,15.6,2.0,2.0
6.0,1.0,3.0,1.8,0.0,0.0
7.0,0.0,65.9,17.4,1.0,2.0
6.0,1.0,35.3,13.0,3.0,1.0
6.0,1.0,40.3,13.0,0.0,0.0
4.0,3.0,27.0,8.0,0.0,0.0
6.0,1.0,65.0,18.3,1.0,1.0
5.0,2.0,6.6,6.6,0.0,0.0
6.0,1.0,51.2,11.5,2.0,0.0
7.0,0.0,106.0,19.0,1.0,0.0
6.0,1.0,69.7,15.5,1.0,0.0
7.0,0.0,48.3,13.8,2.0,2.0
5.0,2.0,13.0,8.0,0.0,0.0
2.0,5.0,8.0,8.0,0.0,0.0
4.0,3.0,26.0,9.0,0.0,0.0
5.0,2.0,57.1,17.0,1.0,1.0
2.0,5.0,0.0,0.0,0.0,1.0
5.0,2.0,27.6,10.0,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,1.0,84.9,18.0,0.0,0.0
6.0,1.0,64.2,14.2,0.0,0.0
5.0,2.0,45.6,12.5,0.0,0.0
1.0,6.0,12.0,12.0,0.0,0.0
5.0,2.0,0.0,0.0,0.0,0.0
5.0,3.0,14.0,5.4,0.0,1.0
7.0,2.0,59.9,19.8,2.0,1.0
8.0,1.0,20.5,5.0,1.0,3.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,0.0,41.0,12.7,2.0,2.0
6.0,1.0,25.0,13.0,0.0,1.0
6.0,1.0,51.5,16.0,1.0,2.0
8.0,0.0,19.0,7.0,0.0,3.0
6.0,1.0,36.5,9.0,2.0,1.0
6.0,1.0,0.0,0.0,0.0,4.0
1.0,6.0,10.1,10.1,0.0,0.0
8.0,0.0,59.7,13.0,2.0,0.0
5.0,2.0,6.0,6.0,0.0,1.0
8.0,1.0,29.1,7.8,2.0,4.0
6.0,1.0,74.8,16.9,0.0,1.0
3.0,4.0,12.0,7.0,1.0,0.0
10.0,0.0,116.8,23.1,2.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,30.3,12.0,1.0,1.0
5.0,3.0,21.0,7.0,0.0,1.0
10.0,0.0,94.6,19.5,3.0,0.0
4.0,3.0,28.5,10.2,1.0,0.0
6.0,1.0,59.4,18.5,1.0,0.0
6.0,1.0,117.0,28.0,2.0,0.0
5.0,2.0,27.1,10.5,2.0,0.0
3.0,4.0,40.0,14.6,0.0,0.0
11.0,1.0,80.3,21.5,3.0,0.0
6.0,1.0,5.3,2.8,0.0,2.0
2.0,5.0,0.0,0.0,0.0,1.0
1.0,6.0,8.2,8.2,0.0,0.0
4.0,3.0,24.7,9.7,1.0,0.0
6.0,1.0,17.0,9.0,1.0,1.0
1.0,6.0,10.8,10.8,0.0,0.0
6.0,1.0,58.3,12.9,0.0,0.0
4.0,3.0,30.5,8.9,0.0,0.0
5.0,2.0,52.4,13.0,0.0,0.0
6.0,1.0,58.2,11.8,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,54.9,16.0,2.0,1.0
5.0,3.0,27.0,10.0,0.0,0.0
9.0,0.0,112.7,22.0,2.0,2.0
9.0,0.0,152.0,39.0,1.0,0.0
9.0,0.0,83.0,18.0,2.0,0.0
2.0,5.0,18.0,9.0,0.0,0.0
7.0,0.0,100.1,22.0,3.0,0.0
6.0,1.0,51.5,19.0,0.0,0.0
8.0,0.0,50.9,19.8,3.0,1.0
1.0,6.0,0.0,0.0,0.0,0.0
3.0,4.0,16.0,10.0,0.0,1.0
5.0,3.0,10.0,10.0,0.0,0.0
2.0,5.0,7.0,7.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
9.0,0.0,76.2,14.3,2.0,1.0
9.0,0.0,23.6,6.4,0.0,2.0
8.0,0.0,87.0,28.5,0.0,1.0
6.0,1.0,56.1,14.9,2.0,1.0
5.0,2.0,71.2,19.0,1.0,0.0
6.0,2.0,69.2,44.0,2.0,1.0
10.0,0.0,204.0,38.0,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
7.0,1.0,66.5,21.7,0.0,2.0
0.0,7.0,0.0,0.0,0.0,0.0
8.0,2.0,76.3,18.0,0.0,0.0
6.0,1.0,78.2,15.9,0.0,0.0
8.0,0.0,150.0,35.2,1.0,1.0
6.0,1.0,0.0,0.0,0.0,2.0
6.0,1.0,61.5,17.0,1.0,0.0
4.0,3.0,13.0,9.4,0.0,3.0
9.0,1.0,77.1,17.6,2.0,2.0
5.0,4.0,76.2,30.0,0.0,0.0
3.0,4.0,18.0,6.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
6.0,2.0,14.6,5.0,0.0,1.0
6.0,1.0,70.9,17.0,0.0,0.0
8.0,0.0,113.6,28.0,1.0,1.0
4.0,4.0,8.8,5.0,0.0,1.0
3.0,4.0,28.4,16.2,1.0,1.0
4.0,4.0,26.8,12.0,0.0,1.0
5.0,2.0,64.7,18.0,1.0,0.0
5.0,2.0,21.3,8.4,0.0,0.0
5.0,2.0,41.0,12.0,3.0,1.0
6.0,2.0,40.6,15.4,0.0,3.0
2.0,5.0,8.0,8.0,1.0,0.0
7.0,1.0,54.9,18.0,2.0,0.0
12.0,0.0,132.6,28.2,1.0,1.0
7.0,0.0,109.0,27.0,2.0,0.0
6.0,1.0,74.7,17.0,0.0,0.0
7.0,1.0,7.5,4.0,0.0,3.0
11.0,1.0,118.6,30.0,0.0,0.0
7.0,0.0,48.8,13.5,2.0,2.0
7.0,0.0,46.0,12.0,0.0,1.0
0.0,7.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
4.0,3.0,18.6,7.0,0.0,1.0
9.0,0.0,50.0,14.0,0.0,0.0
8.0,1.0,49.1,12.8,0.0,1.0
8.0,0.0,65.7,15.0,3.0,2.0
5.0,2.0,44.1,20.0,0.0,1.0
5.0,2.0,56.3,15.5,1.0,1.0
8.0,0.0,78.9,15.0,3.0,2.0
7.0,0.0,42.1,9.0,1.0,1.0
4.0,3.0,50.7,18.2,0.0,0.0
7.0,0.0,49.2,10.0,1.0,2.0
7.0,1.0,71.9,16.0,3.0,1.0
7.0,1.0,43.0,19.5,2.0,0.0
5.0,2.0,47.8,16.7,1.0,0.0
0.0,7.0,0.0,0.0,0.0,0.0
5.0,2.0,44.0,13.0,0.0,1.0
7.0,1.0,60.4,16.2,1.0,2.0
6.0,1.0,92.3,19.0,3.0,0.0
5.0,2.0,50.3,11.3,0.0,0.0
2.0,5.0,0.0,0.0,0.0,2.0
6.0,2.0,8.0,3.0,0.0,2.0
1.0,6.0,0.0,0.0,0.0,1.0
6.0,1.0,36.6,13.0,1.0,3.0
7.0,0.0,5.3,2.9,0.0,2.0
6.0,1.0,32.5,10.3,0.0,2.0
10.0,0.0,105.5,23.5,0.0,1.0
5.0,2.0,42.5,10.0,1.0,0.0
5.0,2.0,32.2,11.9,1.0,2.0
7.0,2.0,70.6,21.3,1.0,1.0
